nhan,t_bat_dau,t_ket_thuc,nhiet_do_bat_dau_c,giay_cho_nguoi
nghi_truoc,1789284534.539492019,1789284594.542284289,53,0
bench_pt_1luong,1789284594.548467943,1789284632.803097705,53,0
bench_pt_2luong,1789284637.809727567,1789284665.301513660,56,5
bench_pt_4luong,1789284670.309169918,1789284694.443185160,58,5
bench_onnx_1luong,1789284704.453002439,1789284751.367930474,58,10
bench_onnx_2luong,1789284766.380502402,1789284794.254042141,58,15
bench_onnx_4luong,1789284814.269004820,1789284839.859693627,58,20
bench_onnx_mnv3_1luong,1789284909.901122942,1789284955.340887696,58,70
bench_onnx_mnv3_2luong,1789284990.363857775,1789285017.635782204,58,35
bench_onnx_mnv3_4luong,1789285042.654031693,1789285068.695158457,58,25
tai_lien_tuc_pt_4luong,1789285123.728445895,1789285203.268490272,59,55
tai_lien_tuc_onnx_4luong,1789285348.348248018,1789285434.152054838,58,145
tai_lien_tuc_onnx_mnv3_4luong,1789285654.271472638,1789285737.161892022,58,220
nghi_sau,1789285967.283653033,1789286027.286601900,58,230
