thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,quat_rpm,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T14:28:52.623,1789284532.623,,1.5745,52.9,1500,3750,0.0,0x80000,0.00321,0.21705,0.21736,0.30421,0.00242,0.00242,0.16111,0.19522,0.03250,0.00000,0.07110,0.36796
2026-09-13T14:28:53.651,1789284533.651,,1.4426,52.4,1500,3749,0.0,0x80000,0.00312,0.21675,0.21736,0.30794,0.00362,0.00242,0.16723,0.05438,0.04032,0.00000,0.06805,0.36140
2026-09-13T14:28:54.677,1789284534.677,,1.4286,52.9,1500,3748,0.2,0x80000,0.00312,0.21936,0.20552,0.30238,0.00242,0.00242,0.16713,0.06143,0.03118,0.00000,0.07242,0.36127
2026-09-13T14:28:55.703,1789284535.704,,1.4043,52.9,1500,3746,0.0,0x80000,0.00312,0.21568,0.20465,0.31148,0.00322,0.00322,0.16401,0.04349,0.02801,0.00000,0.06616,0.36127
2026-09-13T14:28:56.731,1789284536.731,,1.3702,52.9,1500,3752,0.5,0x80000,0.00312,0.21675,0.20465,0.30745,0.00282,0.00242,0.16704,0.00000,0.02799,0.00000,0.07000,0.36796
2026-09-13T14:28:57.757,1789284537.758,,1.3864,52.9,1500,3753,0.0,0x80000,0.00312,0.22475,0.20491,0.30675,0.00322,0.00242,0.16723,0.00000,0.03772,0.00030,0.06802,0.36796
2026-09-13T14:28:58.784,1789284538.785,,1.5720,51.8,1500,3738,0.0,0x80000,0.00312,0.21509,0.21678,0.30888,0.00262,0.00242,0.16723,0.17750,0.04094,0.00000,0.06989,0.36756
2026-09-13T14:28:59.812,1789284539.812,,1.5659,54.0,1500,3748,0.0,0x80000,0.00307,0.21489,0.21807,0.30498,0.00322,0.00222,0.16713,0.18433,0.03018,0.00000,0.06985,0.36796
2026-09-13T14:29:00.839,1789284540.839,,1.3802,52.4,1500,3749,0.0,0x80000,0.00302,0.21803,0.20559,0.30587,0.00241,0.00242,0.17063,0.00000,0.03435,0.00000,0.06993,0.36796
2026-09-13T14:29:01.865,1789284541.866,,1.8239,53.5,1500,3753,0.0,0x80000,0.00302,0.22007,0.20854,0.31338,0.00282,0.00242,0.19273,0.05059,0.04021,0.00000,0.06736,0.72280
2026-09-13T14:29:02.895,1789284542.896,,1.8868,52.9,1500,3754,0.2,0x80000,0.00302,0.21615,0.21843,0.31460,0.00282,0.00242,0.16723,0.19478,0.02472,0.00000,0.06613,0.67653
2026-09-13T14:29:03.922,1789284543.923,,1.8113,53.5,1500,3752,0.5,0x80000,0.00317,0.21615,0.22749,0.31239,0.00242,0.00242,0.15758,0.10857,0.03870,0.00000,0.06606,0.67632
2026-09-13T14:29:04.952,1789284544.953,,1.4040,53.5,1500,3750,0.0,0x80000,0.00312,0.21236,0.20552,0.30813,0.00282,0.00222,0.17063,0.05050,0.03092,0.00000,0.06989,0.34789
2026-09-13T14:29:05.978,1789284545.979,,1.3985,53.5,1500,3746,0.0,0x80000,0.00302,0.21673,0.21843,0.30888,0.00241,0.00242,0.16723,0.01088,0.03351,0.00000,0.06745,0.36756
2026-09-13T14:29:07.007,1789284547.007,,1.5563,53.5,1500,3743,1.5,0x80000,0.00312,0.21607,0.21736,0.30247,0.00221,0.00141,0.16713,0.17759,0.03341,0.00000,0.06788,0.36770
2026-09-13T14:29:08.033,1789284548.034,,1.7395,52.4,1500,3745,0.2,0x80000,0.00312,0.21568,0.21914,0.36536,0.00362,0.00242,0.28894,0.17371,0.03983,0.00000,0.06604,0.36166
2026-09-13T14:29:09.060,1789284549.060,,1.4000,52.9,1500,3741,0.0,0x80000,0.00350,0.21655,0.20673,0.30362,0.00282,0.00242,0.19038,0.00725,0.03176,0.00000,0.06686,0.36809
2026-09-13T14:29:10.086,1789284550.086,,1.5408,52.9,1500,3748,0.2,0x80000,0.00331,0.21675,0.21929,0.31038,0.00242,0.00222,0.25807,0.05074,0.04063,0.00029,0.06871,0.36796
2026-09-13T14:29:11.112,1789284551.113,,1.6031,52.9,1500,3745,0.0,0x80000,0.00297,0.21899,0.20701,0.30594,0.00282,0.00222,0.17994,0.20638,0.03784,0.00000,0.07119,0.36783
2026-09-13T14:29:12.140,1789284552.140,,1.5939,52.9,1500,3739,0.0,0x80000,0.00312,0.22543,0.20477,0.30537,0.00241,0.00242,0.17999,0.19884,0.03349,0.00000,0.06993,0.36809
2026-09-13T14:29:13.167,1789284553.168,,1.5545,52.9,1500,3737,0.2,0x80000,0.00312,0.21909,0.20337,0.30421,0.00221,0.00242,0.15776,0.19889,0.03260,0.00000,0.06993,0.36088
2026-09-13T14:29:14.194,1789284554.195,,1.3771,53.5,1500,3735,0.2,0x80000,0.00297,0.21529,0.20532,0.30594,0.00242,0.00242,0.16424,0.00361,0.03245,0.00000,0.06805,0.37438
2026-09-13T14:29:15.221,1789284555.221,,1.3961,52.4,1500,3741,0.0,0x80000,0.00331,0.22563,0.20673,0.30186,0.00242,0.00242,0.17682,0.00000,0.03870,0.00029,0.06993,0.36796
2026-09-13T14:29:16.348,1789284556.349,,1.6209,53.5,1500,3738,0.0,0x80000,0.00317,0.21783,0.20612,0.36615,0.00262,0.00222,0.29215,0.05412,0.03752,0.00000,0.07110,0.36796
