loat,cau_hinh,nhanh_dinh_vi,luong,buoc,trung_vi_ms,min_ms,max_ms,ti_le_pct
bench_onnx_1luong,onnx,onnx,1,Chuyển màu BGR sang RGB,1.8,1.7,1.8,0.1
bench_onnx_1luong,onnx,onnx,1,Phát hiện biển số (ONNX),364.5,363.4,366.5,30.5
bench_onnx_1luong,onnx,onnx,1,Màu biển + OCR (12 biển),164.0,163.7,167.1,13.7
bench_onnx_1luong,onnx,onnx,1,Định vị + cắt vùng xe (YOLO),397.6,396.9,397.8,33.2
bench_onnx_1luong,onnx,onnx,1,Tiền xử lý ảnh cho classifier,6.7,6.6,6.8,0.6
bench_onnx_1luong,onnx,onnx,1,Phân loại loại xe (ONNX),129.4,129.3,130.5,10.8
bench_onnx_1luong,onnx,onnx,1,Phân loại kiểu dáng (ONNX),132.3,132.2,132.7,11.1
bench_onnx_2luong,onnx,onnx,2,Chuyển màu BGR sang RGB,1.7,1.6,1.8,0.3
bench_onnx_2luong,onnx,onnx,2,Phát hiện biển số (ONNX),198.8,198.3,200.6,29.4
bench_onnx_2luong,onnx,onnx,2,Màu biển + OCR (12 biển),102.8,102.5,104.8,15.2
bench_onnx_2luong,onnx,onnx,2,Định vị + cắt vùng xe (YOLO),223.0,221.5,225.9,33.0
bench_onnx_2luong,onnx,onnx,2,Tiền xử lý ảnh cho classifier,6.6,6.5,6.7,1.0
bench_onnx_2luong,onnx,onnx,2,Phân loại loại xe (ONNX),69.8,69.5,70.1,10.3
bench_onnx_2luong,onnx,onnx,2,Phân loại kiểu dáng (ONNX),73.0,72.5,79.4,10.8
bench_onnx_4luong,onnx,onnx,4,Chuyển màu BGR sang RGB,1.6,1.5,1.9,0.3
bench_onnx_4luong,onnx,onnx,4,Phát hiện biển số (ONNX),168.3,163.8,184.4,27.8
bench_onnx_4luong,onnx,onnx,4,Màu biển + OCR (12 biển),104.0,96.7,111.1,17.2
bench_onnx_4luong,onnx,onnx,4,Định vị + cắt vùng xe (YOLO),188.3,185.0,199.6,31.1
bench_onnx_4luong,onnx,onnx,4,Tiền xử lý ảnh cho classifier,15.9,15.2,20.1,2.6
bench_onnx_4luong,onnx,onnx,4,Phân loại loại xe (ONNX),51.1,46.9,62.7,8.4
bench_onnx_4luong,onnx,onnx,4,Phân loại kiểu dáng (ONNX),76.3,69.4,96.1,12.6
bench_onnx_mnv3_1luong,onnx_mnv3,onnx,1,Chuyển màu BGR sang RGB,1.8,1.7,1.9,0.2
bench_onnx_mnv3_1luong,onnx_mnv3,onnx,1,Phát hiện biển số (ONNX),367.9,366.3,368.9,33.9
bench_onnx_mnv3_1luong,onnx_mnv3,onnx,1,Màu biển + OCR (12 biển),164.1,163.9,164.7,15.1
bench_onnx_mnv3_1luong,onnx_mnv3,onnx,1,Định vị + cắt vùng xe (YOLO),400.4,400.0,406.9,36.9
bench_onnx_mnv3_1luong,onnx_mnv3,onnx,1,Tiền xử lý ảnh cho classifier,6.7,6.6,6.7,0.6
bench_onnx_mnv3_1luong,onnx_mnv3,onnx,1,Phân loại loại xe (ONNX),129.7,129.3,131.0,11.9
bench_onnx_mnv3_1luong,onnx_mnv3,onnx,1,Phân loại kiểu dáng (ONNX),16.0,15.9,16.1,1.5
bench_onnx_mnv3_2luong,onnx_mnv3,onnx,2,Chuyển màu BGR sang RGB,1.8,1.7,1.9,0.3
bench_onnx_mnv3_2luong,onnx_mnv3,onnx,2,Phát hiện biển số (ONNX),201.1,198.7,206.2,32.5
bench_onnx_mnv3_2luong,onnx_mnv3,onnx,2,Màu biển + OCR (12 biển),104.6,103.4,115.9,16.9
bench_onnx_mnv3_2luong,onnx_mnv3,onnx,2,Định vị + cắt vùng xe (YOLO),224.3,223.4,236.2,36.2
bench_onnx_mnv3_2luong,onnx_mnv3,onnx,2,Tiền xử lý ảnh cho classifier,6.7,6.6,6.7,1.1
bench_onnx_mnv3_2luong,onnx_mnv3,onnx,2,Phân loại loại xe (ONNX),69.9,69.8,70.7,11.3
