thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,quat_rpm,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T20:31:30.098,1789306290.099,,1.8627,55.6,2400,4015,0.0,0x0,0.00292,0.21509,0.20532,0.32448,0.00282,0.00222,0.18377,0.20245,0.03360,0.00000,0.06901,0.62100
2026-09-13T20:31:31.124,1789306291.124,,1.6938,55.6,2400,4012,0.2,0x0,0.00302,0.21773,0.20477,0.31401,0.00322,0.00222,0.18330,0.03622,0.03339,0.00000,0.06658,0.62934
2026-09-13T20:31:32.149,1789306292.150,,1.6751,56.8,2400,4017,0.0,0x0,0.00297,0.21939,0.20767,0.32117,0.00261,0.00222,0.15758,0.00723,0.06349,0.00000,0.06962,0.62119
2026-09-13T20:31:33.174,1789306293.175,,1.8994,55.1,2400,4016,0.0,0x0,0.00312,0.29861,0.28192,0.32292,0.00241,0.00262,0.22555,0.00000,0.03349,0.00000,0.06770,0.66101
2026-09-13T20:31:34.200,1789306294.201,,1.3870,56.2,1500,4030,0.0,0x0,0.00297,0.21460,0.20417,0.31282,0.00282,0.00222,0.15798,0.00000,0.03538,0.00000,0.06618,0.38789
2026-09-13T20:31:35.227,1789306295.227,,1.6184,56.2,1500,4033,0.2,0x0,0.00312,0.21851,0.20625,0.30617,0.00282,0.00242,0.18387,0.19874,0.03985,0.00000,0.06905,0.38761
2026-09-13T20:31:36.253,1789306296.254,,1.5896,55.1,1500,3970,0.0,0x0,0.00297,0.21617,0.20566,0.30063,0.00241,0.00242,0.16723,0.20245,0.03762,0.00000,0.06416,0.38789
2026-09-13T20:31:37.279,1789306297.280,,1.4493,55.1,1500,3966,0.0,0x0,0.00297,0.21871,0.20673,0.30594,0.00241,0.00242,0.16479,0.05074,0.04333,0.00000,0.06993,0.38134
2026-09-13T20:31:38.306,1789306298.306,,1.5277,55.1,1500,3973,0.0,0x0,0.00312,0.21665,0.28749,0.31282,0.00282,0.00222,0.17973,0.05434,0.02156,0.00000,0.06604,0.38093
2026-09-13T20:31:39.332,1789306299.333,,1.5016,55.6,1500,3987,0.2,0x0,0.00297,0.21949,0.20625,0.31064,0.00241,0.00222,0.20880,0.04709,0.05280,0.00000,0.06800,0.38093
2026-09-13T20:31:40.358,1789306300.359,,1.4418,55.1,1500,3996,0.2,0x0,0.00316,0.22600,0.20646,0.30537,0.00241,0.00141,0.16746,0.05439,0.03117,0.00000,0.06930,0.37465
2026-09-13T20:31:41.385,1789306301.385,,1.5131,56.2,1500,3994,0.0,0x0,0.00312,0.21597,0.21700,0.30221,0.00282,0.00242,0.23180,0.04695,0.03988,0.00000,0.06987,0.38107
2026-09-13T20:31:42.411,1789306302.412,,1.3916,55.6,1500,3998,0.0,0x0,0.00312,0.22055,0.20485,0.30713,0.00241,0.00242,0.16102,0.00000,0.03762,0.00000,0.07118,0.38134
2026-09-13T20:31:43.438,1789306303.438,,1.4655,55.6,1500,3998,0.0,0x0,0.00297,0.27404,0.20673,0.30713,0.00241,0.00242,0.16489,0.00723,0.03769,0.00000,0.07233,0.38761
2026-09-13T20:31:44.464,1789306304.464,,1.4420,55.6,1500,4001,0.0,0x0,0.00302,0.21977,0.20781,0.30768,0.00241,0.00242,0.21201,0.00362,0.03450,0.00059,0.06724,0.38093
2026-09-13T20:31:45.490,1789306305.491,,1.3923,56.2,1500,4005,0.0,0x0,0.00297,0.22085,0.20875,0.30073,0.00282,0.00221,0.16401,0.00722,0.03111,0.00000,0.07039,0.38120
2026-09-13T20:31:46.516,1789306306.517,,1.4409,55.6,1500,3977,0.2,0x0,0.00297,0.21557,0.20290,0.30011,0.00241,0.00242,0.16401,0.05771,0.04513,0.00000,0.06672,0.38093
2026-09-13T20:31:47.543,1789306307.543,,1.5216,54.5,1500,3957,0.2,0x0,0.00297,0.21771,0.20680,0.30247,0.00282,0.00222,0.17044,0.13005,0.03669,0.00000,0.06800,0.38148
2026-09-13T20:31:48.569,1789306308.570,,1.7947,54.5,1500,3964,0.0,0x0,0.00302,0.21783,0.22085,0.35831,0.00241,0.00222,0.30881,0.19166,0.03887,0.00000,0.06976,0.38093
2026-09-13T20:31:49.596,1789306309.596,,1.6290,55.6,1500,3964,0.2,0x0,0.00307,0.21665,0.20552,0.30888,0.00282,0.00221,0.18694,0.20648,0.03893,0.00000,0.06993,0.38761
2026-09-13T20:31:50.622,1789306310.622,,1.6290,55.1,1500,3966,0.0,0x0,0.00312,0.21665,0.20444,0.30587,0.00282,0.00242,0.21003,0.19889,0.03547,0.00000,0.06798,0.38134
2026-09-13T20:31:51.648,1789306311.649,,1.4116,55.1,1500,3971,0.0,0x0,0.00297,0.22017,0.20767,0.30846,0.00241,0.00242,0.18963,0.00361,0.02906,0.00000,0.06429,0.38093
2026-09-13T20:31:52.674,1789306312.675,,1.5583,54.5,1500,3976,0.0,0x0,0.00297,0.21577,0.20566,0.30247,0.00201,0.00222,0.16415,0.00361,0.03794,0.00000,0.06665,0.55489
2026-09-13T20:31:53.701,1789306313.701,,1.4129,55.6,1500,3986,0.0,0x0,0.00297,0.21793,0.21485,0.30713,0.00241,0.00242,0.17687,0.00361,0.03387,0.00000,0.06996,0.38093
2026-09-13T20:31:54.727,1789306314.728,,1.5768,56.2,1500,3987,0.0,0x0,0.00302,0.21695,0.20667,0.30362,0.00241,0.00242,0.17126,0.18402,0.03563,0.00000,0.06984,0.38093
2026-09-13T20:31:55.754,1789306315.754,,1.7029,55.6,1500,3992,0.0,0x0,0.00287,0.21851,0.28379,0.30545,0.00241,0.00141,0.20962,0.19552,0.03761,0.00000,0.06412,0.38161
2026-09-13T20:31:56.780,1789306316.781,,2.0749,55.6,1500,3984,0.7,0x0,0.00307,0.27248,0.20660,0.31551,0.00241,0.00242,0.16410,0.23534,0.04515,0.00000,0.06597,0.76186
2026-09-13T20:31:57.807,1789306317.807,,1.5758,55.1,1500,3988,2.2,0x0,0.00292,0.21645,0.20673,0.30247,0.00282,0.00222,0.16070,0.19884,0.03332,0.00000,0.06802,0.38134
2026-09-13T20:31:58.833,1789306318.834,,1.6786,54.5,1500,3983,0.0,0x0,0.00312,0.29641,0.20497,0.30846,0.00282,0.00242,0.16396,0.20968,0.03734,0.00030,0.06789,0.38120
2026-09-13T20:31:59.859,1789306319.860,,1.3881,55.1,1500,3991,0.0,0x0,0.00312,0.21997,0.20573,0.30421,0.00242,0.00201,0.16075,0.00724,0.03347,0.00000,0.06809,0.38107
2026-09-13T20:32:00.886,1789306320.886,,1.3917,55.6,1500,3956,0.0,0x0,0.00297,0.21881,0.20625,0.30413,0.00282,0.00221,0.16723,0.00362,0.03440,0.00000,0.06805,0.38120
2026-09-13T20:32:01.912,1789306321.913,,1.4126,55.6,1500,3963,0.2,0x0,0.00297,0.22037,0.20458,0.30675,0.00282,0.00222,0.19027,0.00000,0.03340,0.00000,0.06805,0.38120
2026-09-13T20:32:02.938,1789306322.939,,1.4045,55.1,1500,3970,0.0,0x0,0.00302,0.21783,0.20612,0.30594,0.00282,0.00222,0.18320,0.00000,0.03208,0.00000,0.06993,0.38134
2026-09-13T20:32:03.965,1789306323.965,,1.3964,56.2,1500,3976,0.0,0x0,0.00311,0.21773,0.20673,0.30247,0.00282,0.00222,0.17059,0.00000,0.04000,0.00000,0.06976,0.38093
2026-09-13T20:32:04.991,1789306324.992,,1.5737,55.6,1500,3978,0.0,0x0,0.00312,0.21421,0.21822,0.30762,0.00201,0.00141,0.16443,0.18322,0.03225,0.00000,0.06611,0.38107
2026-09-13T20:32:06.021,1789306326.022,,1.8864,55.6,1500,3977,0.0,0x0,0.00312,0.21567,0.20532,0.30713,0.00241,0.00141,0.15749,0.20200,0.03124,0.00089,0.06599,0.69370
