thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,quat_rpm,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T21:11:47.964,1789308707.964,,1.4460,57.3,1500,6277,0.0,0xe0000,0.00312,0.21499,0.20444,0.30675,0.00322,0.00322,0.17054,0.05409,0.02587,0.00059,0.06429,0.39486
2026-09-13T21:11:48.990,1789308708.991,,2.7365,57.9,2400,6277,2.7,0xe0000,0.00302,0.23146,0.20826,0.33512,0.00181,0.00262,0.20260,0.04346,0.12410,0.00296,0.06612,1.51497
2026-09-13T21:11:50.019,1789308710.019,,2.3625,57.9,2400,6255,31.0,0xe0000,0.00311,0.23291,0.20673,0.33521,0.00282,0.00242,0.20576,0.00000,0.13367,0.00207,0.06564,1.17211
2026-09-13T21:11:51.046,1789308711.046,,2.5991,59.5,2400,6247,30.5,0xe0000,0.00297,0.23068,0.20625,0.32448,0.00322,0.00222,0.21625,0.00000,0.04736,0.00000,0.06755,1.49812
2026-09-13T21:11:52.074,1789308712.075,,2.9381,60.6,2400,6234,25.2,0xe0000,0.00312,0.26113,0.20518,0.35108,0.00261,0.00262,0.18330,0.00000,0.17940,0.00207,0.06570,1.68191
2026-09-13T21:11:53.101,1789308713.102,,2.8157,59.5,2400,6218,25.1,0xe0000,0.00312,0.24871,0.20337,0.35065,0.00241,0.00222,0.18034,0.05799,0.22520,0.00592,0.06912,1.46669
2026-09-13T21:11:54.135,1789308714.135,,6.3663,62.8,2400,6203,66.2,0xe0000,0.00287,0.21997,0.33087,0.32643,0.00241,0.00222,0.18958,0.20638,0.05051,0.00000,0.06754,4.96751
2026-09-13T21:11:55.167,1789308715.167,,8.4088,65.5,2400,6174,92.2,0xe0000,0.00292,0.30513,0.21104,0.34988,0.00241,0.00181,0.19678,0.18804,0.18177,0.00235,0.06441,6.90229
2026-09-13T21:11:56.203,1789308716.203,,6.6271,66.1,2400,6172,92.1,0xe0000,0.00297,0.22261,0.27752,0.34084,0.00241,0.00222,0.18647,0.18076,0.34268,0.00680,0.06697,4.99489
2026-09-13T21:11:57.231,1789308717.231,,4.5187,66.7,2400,6166,90.2,0xe0000,0.00306,0.28159,0.22935,0.35138,0.00241,0.00222,0.17989,0.15871,0.42110,0.01241,0.06443,2.81212
2026-09-13T21:11:58.267,1789308718.267,,4.7566,66.7,2400,6177,91.7,0xe0000,0.00287,0.29590,0.20497,0.32640,0.00261,0.00483,0.18004,0.20581,0.07378,0.00030,0.06641,3.39264
2026-09-13T21:11:59.298,1789308719.298,,7.1875,67.8,2400,6179,92.5,0xe0000,0.00311,0.27470,0.20740,0.39273,0.00242,0.00242,0.17054,0.20607,0.44176,0.00619,0.06332,5.41684
2026-09-13T21:12:00.334,1789308720.335,,8.5253,67.2,2400,7686,92.0,0xe0000,0.00312,0.32190,0.20573,0.34260,0.00241,0.00242,0.15771,0.18072,0.45916,0.00118,0.06561,6.78277
2026-09-13T21:12:01.368,1789308721.369,,5.8487,68.3,2400,7585,91.4,0xe0000,0.00302,0.30889,0.20673,0.36634,0.00281,0.00262,0.18029,0.17331,0.43106,0.04420,0.06296,4.06650
2026-09-13T21:12:02.397,1789308722.398,,9.1871,68.8,2400,7562,90.1,0xe0000,0.00302,0.26911,0.20854,0.34417,0.00242,0.00242,0.20938,0.18094,0.20566,0.00000,0.06930,7.69214
2026-09-13T21:12:03.428,1789308723.429,,5.2141,67.8,2400,7570,91.2,0xe0000,0.00321,0.31932,0.20465,0.35138,0.00241,0.00242,0.17371,0.19889,0.18112,0.00266,0.06661,3.70769
2026-09-13T21:12:04.458,1789308724.459,,6.0834,68.8,2400,7575,90.6,0xe0000,0.00297,0.29884,0.20552,0.36017,0.00242,0.00242,0.17380,0.20291,0.19225,0.00088,0.06410,4.57708
2026-09-13T21:12:05.491,1789308725.492,,8.3797,69.4,2400,7604,92.4,0xe0000,0.00307,0.26980,0.23042,0.37949,0.00281,0.00282,0.17078,0.00000,0.46223,0.01177,0.06508,6.78139
2026-09-13T21:12:06.523,1789308726.524,,6.9001,70.0,2400,7608,92.5,0xe0000,0.00306,0.23680,0.20330,0.33614,0.00282,0.00282,0.22826,0.00723,0.16366,0.00059,0.06560,5.64983
2026-09-13T21:12:07.551,1789308727.552,,5.9040,68.8,2400,7637,88.8,0xe0000,0.00306,0.26759,0.20552,0.33338,0.00301,0.00262,0.18958,0.00000,0.45395,0.00000,0.06375,4.38149
2026-09-13T21:12:08.586,1789308728.587,,5.7076,68.8,2400,7676,90.2,0xe0000,0.00292,0.31513,0.20625,0.39685,0.00241,0.00262,0.22158,0.00000,0.40889,0.01177,0.06472,4.07448
2026-09-13T21:12:09.615,1789308729.616,,5.4978,70.0,2400,7672,89.8,0xe0000,0.00287,0.31694,0.20747,0.39706,0.00242,0.00262,0.20909,0.06147,0.41881,0.01158,0.06296,3.80452
2026-09-13T21:12:10.650,1789308730.651,,7.2809,71.0,2400,7666,92.2,0xe0000,0.00307,0.25722,0.20370,0.37590,0.00262,0.00181,0.17366,0.19542,0.53116,0.00298,0.06519,5.46820
2026-09-13T21:12:11.682,1789308731.683,,6.1626,70.5,2400,7684,90.2,0xe0000,0.00302,0.23149,0.20444,0.39363,0.00262,0.00181,0.16977,0.18790,0.41788,0.00532,0.06497,4.47978
2026-09-13T21:12:12.714,1789308732.715,,4.6705,68.8,2400,7704,90.9,0xe0000,0.00307,0.23959,0.21104,0.35802,0.00241,0.00484,0.16746,0.20607,0.22597,0.00354,0.06360,3.18488
2026-09-13T21:12:13.747,1789308733.747,,8.3155,70.0,2400,7725,91.2,0xe0000,0.00302,0.28846,0.20678,0.37384,0.00443,0.00282,0.17044,0.17388,0.41798,0.01152,0.06623,6.59613
2026-09-13T21:12:14.786,1789308734.787,,6.7704,71.6,2400,7778,91.7,0xe0000,0.00302,0.29458,0.20532,0.35108,0.00262,0.00262,0.15110,0.19002,0.18382,0.00089,0.06537,5.31996
2026-09-13T21:12:15.814,1789308735.814,,8.9911,70.5,2400,7776,90.6,0xe0000,0.00307,0.23447,0.20889,0.36153,0.00241,0.00322,0.18009,0.03960,0.43983,0.01742,0.06579,7.43483
2026-09-13T21:12:16.841,1789308736.841,,4.1664,71.0,2400,7784,89.2,0xe0000,0.00306,0.31738,0.20740,0.35462,0.00261,0.00323,0.17737,0.00000,0.17103,0.00355,0.06690,2.85925
2026-09-13T21:12:17.874,1789308737.874,,6.7689,70.5,2400,7798,91.1,0xe0000,0.00311,0.34431,0.20781,0.35841,0.00241,0.00262,0.25405,0.00000,0.19350,0.00534,0.06466,5.33269
2026-09-13T21:12:18.906,1789308738.906,,6.7383,72.2,2400,7834,91.1,0xe0000,0.00287,0.33371,0.20573,0.39426,0.00262,0.00323,0.26677,0.01804,0.48604,0.01308,0.06386,4.94808
2026-09-13T21:12:19.939,1789308739.939,,5.7600,70.5,2400,7847,92.5,0xe0000,0.00297,0.26899,0.20518,0.39488,0.00241,0.00242,0.18974,0.05430,0.47007,0.00971,0.06466,4.09470
2026-09-13T21:12:20.966,1789308740.966,,4.6762,71.6,2400,7857,91.5,0xe0000,0.00302,0.25336,0.20781,0.38122,0.00261,0.00241,0.19995,0.06135,0.41642,0.00620,0.06313,3.07871
2026-09-13T21:12:21.999,1789308741.999,,3.1845,71.0,2400,7861,90.4,0xe0000,0.00297,0.24148,0.20882,0.37015,0.00281,0.00282,0.17712,0.19498,0.34429,0.00237,0.06398,1.57268
2026-09-13T21:12:23.031,1789308743.032,,8.2148,71.6,2400,7865,89.7,0xe0000,0.00312,0.25729,0.20733,0.39179,0.00281,0.00282,0.16143,0.18682,0.44996,0.00502,0.06389,6.48248
2026-09-13T21:12:24.062,1789308744.062,,7.1831,73.8,2400,7867,91.2,0xe0000,0.00302,0.25519,0.20451,0.37856,0.00261,0.00262,0.17044,0.21330,0.31827,0.01211,0.06531,5.55715
2026-09-13T21:12:25.094,1789308745.095,,5.8996,72.2,2400,7878,91.4,0xe0000,0.00311,0.31591,0.21914,0.42732,0.00403,0.00242,0.18320,0.20296,0.45283,0.01565,0.06473,4.00827
2026-09-13T21:12:26.131,1789308746.131,,9.3286,72.7,2400,7892,91.7,0xe0000,0.00297,0.32128,0.20701,0.39643,0.00362,0.00282,0.19350,0.22782,0.44813,0.01654,0.06455,7.44396
