thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T13:22:42.318,1789280562.318,,1.8062,52.4,2400,0.2,0x0,0.00307,0.21509,0.20411,0.31766,0.00282,0.00222,0.17687,0.17358,0.03775,0.00059,0.07467,0.59784
2026-09-13T13:22:43.343,1789280563.344,,1.6315,52.4,2400,0.0,0x0,0.00302,0.21461,0.20712,0.31925,0.00261,0.00242,0.18341,0.00724,0.03011,0.00000,0.07218,0.58951
2026-09-13T13:22:44.369,1789280564.369,,1.6168,52.9,2400,1.0,0x0,0.00306,0.21568,0.21256,0.31766,0.00241,0.00222,0.15758,0.00725,0.03132,0.00000,0.06919,0.59784
2026-09-13T13:22:45.394,1789280565.394,,1.6426,52.9,2400,0.0,0x0,0.00312,0.22876,0.20337,0.31925,0.00342,0.00222,0.17682,0.00000,0.02907,0.00000,0.07095,0.60562
2026-09-13T13:22:46.420,1789280566.420,,1.6169,51.8,1500,0.0,0x0,0.00297,0.21879,0.20552,0.31393,0.00322,0.00322,0.18710,0.20628,0.03875,0.00000,0.06921,0.36796
2026-09-13T13:22:47.446,1789280567.446,,1.5800,51.8,1500,0.5,0x0,0.00307,0.21470,0.20518,0.30745,0.00282,0.00242,0.16723,0.20921,0.03563,0.00000,0.07114,0.36114
2026-09-13T13:22:48.472,1789280568.473,,1.4574,53.5,1500,0.0,0x0,0.00292,0.21158,0.20229,0.30927,0.00282,0.00242,0.16704,0.05050,0.02917,0.00000,0.07114,0.40825
2026-09-13T13:22:49.498,1789280569.499,,1.4462,52.4,1500,0.0,0x0,0.00297,0.21558,0.20625,0.30247,0.00282,0.00242,0.17682,0.05436,0.04195,0.00000,0.07242,0.36809
2026-09-13T13:22:50.524,1789280570.525,,1.4488,52.4,1500,0.0,0x0,0.00311,0.21734,0.20673,0.30421,0.00242,0.00242,0.18974,0.05077,0.03844,0.00000,0.07239,0.36127
2026-09-13T13:22:51.551,1789280571.551,,1.5320,51.8,1500,0.0,0x0,0.00302,0.21851,0.28625,0.31207,0.00262,0.00222,0.18699,0.04708,0.03026,0.00000,0.07477,0.36822
2026-09-13T13:22:52.577,1789280572.577,,1.3691,51.2,1500,0.0,0x0,0.00312,0.21705,0.20196,0.30462,0.00242,0.00322,0.16723,0.00000,0.03347,0.00000,0.06798,0.36809
2026-09-13T13:22:53.603,1789280573.603,,1.3752,52.4,1500,0.0,0x0,0.00297,0.21695,0.20370,0.30683,0.00362,0.00222,0.16401,0.00362,0.03872,0.00000,0.07116,0.36140
2026-09-13T13:22:54.629,1789280574.630,,1.4581,52.4,1500,0.0,0x0,0.00312,0.22163,0.22452,0.31384,0.00402,0.00242,0.22158,0.00000,0.03478,0.00000,0.07116,0.36101
2026-09-13T13:22:55.655,1789280575.656,,1.3900,51.8,1500,0.0,0x0,0.00302,0.21314,0.20236,0.29725,0.00282,0.00242,0.18963,0.00362,0.03546,0.00000,0.07242,0.36783
2026-09-13T13:22:56.682,1789280576.682,,1.5694,51.8,1500,0.7,0x0,0.00312,0.21636,0.20411,0.30594,0.00282,0.00242,0.16443,0.19889,0.04085,0.00000,0.06923,0.36127
2026-09-13T13:22:57.708,1789280577.708,,1.5749,51.8,1500,0.0,0x0,0.00302,0.21617,0.20660,0.30180,0.00261,0.00242,0.15758,0.19552,0.03933,0.00000,0.07482,0.37505
2026-09-13T13:22:58.734,1789280578.734,,1.4321,51.8,1500,0.2,0x0,0.00312,0.21675,0.20518,0.30852,0.00402,0.00222,0.16461,0.05427,0.03983,0.00000,0.07242,0.36114
