loat,cau_hinh,dinh_vi_file,kieu_dang_file,nhanh_dinh_vi,luong,lien_tuc,trung_vi_ms,min_ms,max_ms,luot_dau_ms,cpu_time_ms,ti_so_cpu_wall,p_trung_vi_w,p_min_w,p_max_w,e_toan_phan_j,e_tang_them_j,nhiet_do_bat_dau_c,nhiet_do_max_c,giay_cho_nguoi,quat_rpm_max,cpu_trung_vi_pct,throttled,throttled_hien_tai,so_mau,so_bien_tren_anh
nghi_truoc,,,,,,,,,,,,,1.436,1.346,2.095,,,,52.4,,,0.0,0x0,0x0,58,
nghi_sau,,,,,,,,,,,,,1.717,1.541,4.213,,,,76.0,,,0.0,0x80000,0x0,59,
bench_onnx_1luong,onnx,,,khong_ghi,1,False,810.9,808.1,822.1,957.2,1115.0,1.4,3.629,2.671,4.821,2.943,1.647,,65.0,,,32.7,0x0,0x0,36,12
bench_onnx_2luong,onnx,,,khong_ghi,2,False,532.7,528.1,546.6,667.5,1293.4,2.4,4.642,2.123,5.835,2.473,1.622,,68.8,,,57.1,0x0,0x0,26,12
bench_onnx_4luong,onnx,,,khong_ghi,4,False,495.7,476.6,536.1,627.2,1822.1,3.7,4.582,1.982,9.415,2.271,1.479,,72.2,,,90.9,0x0,0x0,27,12
bench_pt_1luong,pt,,,khong_ghi,1,False,808.9,807.5,811.2,963.5,1114.3,1.4,3.529,1.911,8.734,2.855,1.562,,59.5,,,32.6,0x0,0x0,37,12
bench_pt_2luong,pt,,,khong_ghi,2,False,532.6,523.7,570.1,668.2,1288.6,2.4,4.684,1.886,8.892,2.495,1.644,,64.5,,,54.7,0x0,0x0,27,12
bench_pt_4luong,pt,,,khong_ghi,4,False,489.7,480.5,509.5,593.1,1800.5,3.7,5.722,1.941,9.096,2.802,2.02,,69.4,,,91.8,0x0,0x0,25,12
tai_lien_tuc_onnx_4luong,onnx,,,khong_ghi,4,True,496.9,478.5,547.4,615.4,1823.6,3.7,6.263,2.771,9.566,3.112,2.318,,81.5,,,92.2,"0x0,0x80000,0x80008","0x0,0x8",77,12
tai_lien_tuc_pt_4luong,pt,,,khong_ghi,4,True,491.4,474.7,543.5,620.2,1818.2,3.7,6.39,2.147,9.613,3.14,2.355,,77.7,,,92.5,0x0,0x0,78,12
