loat,cau_hinh,nhanh_dinh_vi,luong,buoc,trung_vi_ms,min_ms,max_ms,ti_le_pct
bench_onnx_1luong,onnx,khong_ghi,1,Chuyển màu BGR sang RGB,1.6,1.5,2.1,0.2
bench_onnx_1luong,onnx,khong_ghi,1,Phát hiện biển số (ONNX),366.1,365.4,368.0,39.1
bench_onnx_1luong,onnx,khong_ghi,1,Màu biển + OCR (12 biển),165.4,164.9,169.4,17.7
bench_onnx_1luong,onnx,khong_ghi,1,Định vị + cắt vùng xe (YOLO),133.9,133.1,138.8,14.3
bench_onnx_1luong,onnx,khong_ghi,1,Tiền xử lý ảnh cho classifier,6.5,6.5,6.6,0.7
bench_onnx_1luong,onnx,khong_ghi,1,Phân loại loại xe (ONNX),129.7,129.6,130.4,13.9
bench_onnx_1luong,onnx,khong_ghi,1,Phân loại kiểu dáng (ONNX),132.7,132.5,132.9,14.2
bench_onnx_2luong,onnx,khong_ghi,2,Chuyển màu BGR sang RGB,1.5,1.5,1.8,0.3
bench_onnx_2luong,onnx,khong_ghi,2,Phát hiện biển số (ONNX),200.4,199.8,211.4,33.9
bench_onnx_2luong,onnx,khong_ghi,2,Màu biển + OCR (12 biển),103.4,103.0,104.8,17.5
bench_onnx_2luong,onnx,khong_ghi,2,Định vị + cắt vùng xe (YOLO),137.5,136.4,142.5,23.2
bench_onnx_2luong,onnx,khong_ghi,2,Tiền xử lý ảnh cho classifier,6.6,6.6,7.0,1.1
bench_onnx_2luong,onnx,khong_ghi,2,Phân loại loại xe (ONNX),69.7,69.7,70.1,11.8
bench_onnx_2luong,onnx,khong_ghi,2,Phân loại kiểu dáng (ONNX),72.7,72.5,77.3,12.3
bench_onnx_4luong,onnx,khong_ghi,4,Chuyển màu BGR sang RGB,1.6,1.6,1.9,0.3
bench_onnx_4luong,onnx,khong_ghi,4,Phát hiện biển số (ONNX),166.9,164.3,177.6,29.4
bench_onnx_4luong,onnx,khong_ghi,4,Màu biển + OCR (12 biển),106.8,97.4,115.4,18.8
bench_onnx_4luong,onnx,khong_ghi,4,Định vị + cắt vùng xe (YOLO),157.0,154.1,171.7,27.7
bench_onnx_4luong,onnx,khong_ghi,4,Tiền xử lý ảnh cho classifier,6.6,6.6,6.7,1.2
bench_onnx_4luong,onnx,khong_ghi,4,Phân loại loại xe (ONNX),49.1,45.9,71.4,8.7
bench_onnx_4luong,onnx,khong_ghi,4,Phân loại kiểu dáng (ONNX),79.1,74.5,112.0,14.0
bench_pt_1luong,pt,khong_ghi,1,Chuyển màu BGR sang RGB,1.6,1.5,2.0,0.2
bench_pt_1luong,pt,khong_ghi,1,Phát hiện biển số (ONNX),366.5,365.7,367.1,39.1
bench_pt_1luong,pt,khong_ghi,1,Màu biển + OCR (12 biển),165.6,165.4,166.0,17.7
bench_pt_1luong,pt,khong_ghi,1,Định vị + cắt vùng xe (YOLO),133.9,133.2,142.3,14.3
bench_pt_1luong,pt,khong_ghi,1,Tiền xử lý ảnh cho classifier,6.5,6.5,6.6,0.7
bench_pt_1luong,pt,khong_ghi,1,Phân loại loại xe (ONNX),129.6,129.4,130.6,13.8
bench_pt_1luong,pt,khong_ghi,1,Phân loại kiểu dáng (ONNX),132.5,132.4,133.6,14.2
bench_pt_2luong,pt,khong_ghi,2,Chuyển màu BGR sang RGB,1.5,1.5,1.8,0.3
bench_pt_2luong,pt,khong_ghi,2,Phát hiện biển số (ONNX),199.6,199.2,203.9,33.6
bench_pt_2luong,pt,khong_ghi,2,Màu biển + OCR (12 biển),103.2,103.1,103.3,17.4
bench_pt_2luong,pt,khong_ghi,2,Định vị + cắt vùng xe (YOLO),141.0,137.0,172.0,23.7
bench_pt_2luong,pt,khong_ghi,2,Tiền xử lý ảnh cho classifier,6.6,6.5,7.0,1.1
bench_pt_2luong,pt,khong_ghi,2,Phân loại loại xe (ONNX),69.6,69.5,71.5,11.7
bench_pt_2luong,pt,khong_ghi,2,Phân loại kiểu dáng (ONNX),72.5,72.4,78.4,12.2
bench_pt_4luong,pt,khong_ghi,4,Chuyển màu BGR sang RGB,1.6,1.5,1.8,0.3
bench_pt_4luong,pt,khong_ghi,4,Phát hiện biển số (ONNX),165.1,161.4,210.6,29.8
bench_pt_4luong,pt,khong_ghi,4,Màu biển + OCR (12 biển),101.4,91.7,113.1,18.3
bench_pt_4luong,pt,khong_ghi,4,Định vị + cắt vùng xe (YOLO),155.5,148.1,171.1,28.1
bench_pt_4luong,pt,khong_ghi,4,Tiền xử lý ảnh cho classifier,6.5,6.5,6.6,1.2
bench_pt_4luong,pt,khong_ghi,4,Phân loại loại xe (ONNX),45.9,45.1,52.7,8.3
bench_pt_4luong,pt,khong_ghi,4,Phân loại kiểu dáng (ONNX),77.8,71.7,81.0,14.1
tai_lien_tuc_onnx_4luong,onnx,khong_ghi,4,Chuyển màu BGR sang RGB,1.6,1.5,1.9,0.3
tai_lien_tuc_onnx_4luong,onnx,khong_ghi,4,Phát hiện biển số (ONNX),167.9,161.8,204.0,29.7
tai_lien_tuc_onnx_4luong,onnx,khong_ghi,4,Màu biển + OCR (12 biển),106.0,92.7,140.0,18.7
tai_lien_tuc_onnx_4luong,onnx,khong_ghi,4,Định vị + cắt vùng xe (YOLO),158.3,149.5,197.1,28.0
tai_lien_tuc_onnx_4luong,onnx,khong_ghi,4,Tiền xử lý ảnh cho classifier,6.6,6.5,10.8,1.2
tai_lien_tuc_onnx_4luong,onnx,khong_ghi,4,Phân loại loại xe (ONNX),47.1,45.4,73.7,8.3
tai_lien_tuc_onnx_4luong,onnx,khong_ghi,4,Phân loại kiểu dáng (ONNX),78.7,72.6,104.9,13.9
tai_lien_tuc_pt_4luong,pt,khong_ghi,4,Chuyển màu BGR sang RGB,1.6,1.5,1.9,0.3
tai_lien_tuc_pt_4luong,pt,khong_ghi,4,Phát hiện biển số (ONNX),168.4,159.4,210.1,29.5
tai_lien_tuc_pt_4luong,pt,khong_ghi,4,Màu biển + OCR (12 biển),105.8,94.7,132.9,18.6
tai_lien_tuc_pt_4luong,pt,khong_ghi,4,Định vị + cắt vùng xe (YOLO),160.2,153.7,198.7,28.1
tai_lien_tuc_pt_4luong,pt,khong_ghi,4,Tiền xử lý ảnh cho classifier,6.6,6.6,6.8,1.2
tai_lien_tuc_pt_4luong,pt,khong_ghi,4,Phân loại loại xe (ONNX),48.4,45.2,74.7,8.5
tai_lien_tuc_pt_4luong,pt,khong_ghi,4,Phân loại kiểu dáng (ONNX),79.3,70.1,102.5,13.9
