thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,quat_rpm,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T13:41:21.601,1789281681.602,,1.5825,54.5,1500,3806,0.0,0x80000,0.00312,0.22007,0.20485,0.31097,0.00242,0.00181,0.18024,0.18081,0.03442,0.00000,0.06932,0.37452
2026-09-13T13:41:22.628,1789281682.629,,1.5914,55.1,1500,3808,0.0,0x80000,0.00297,0.21861,0.20552,0.30861,0.00282,0.00222,0.19938,0.16301,0.03027,0.00000,0.07000,0.38803
2026-09-13T13:41:23.654,1789281683.655,,1.5580,55.6,1500,3805,0.5,0x80000,0.00288,0.21803,0.20660,0.30587,0.00282,0.00222,0.16419,0.16232,0.03885,0.00059,0.07244,0.38120
2026-09-13T13:41:24.681,1789281684.681,,1.5622,55.1,1500,3804,0.0,0x80000,0.00312,0.29655,0.20660,0.30073,0.00242,0.00242,0.17366,0.06486,0.06665,0.00000,0.07057,0.37465
2026-09-13T13:41:25.707,1789281685.708,,1.3771,54.5,1500,3801,0.0,0x80000,0.00312,0.21636,0.20330,0.30852,0.00322,0.00222,0.15740,0.00362,0.03666,0.00000,0.06804,0.37465
2026-09-13T13:41:26.734,1789281686.734,,1.3861,56.2,1500,3797,0.0,0x80000,0.00312,0.21705,0.20357,0.30440,0.00282,0.00242,0.16129,0.00000,0.04130,0.00000,0.06875,0.38134
2026-09-13T13:41:27.760,1789281687.761,,1.3973,55.6,1500,3801,0.0,0x80000,0.00297,0.21695,0.20518,0.31207,0.00322,0.00222,0.16382,0.00000,0.03872,0.00000,0.06989,0.38230
2026-09-13T13:41:28.786,1789281688.787,,1.3939,55.6,1500,3807,0.0,0x80000,0.00297,0.21489,0.20249,0.31638,0.00282,0.00222,0.15771,0.00362,0.03988,0.00000,0.06989,0.38107
2026-09-13T13:41:29.813,1789281689.813,,1.3885,54.0,1500,3803,0.2,0x80000,0.00297,0.21734,0.20444,0.30247,0.00282,0.00222,0.15780,0.01082,0.03570,0.00000,0.07061,0.38134
2026-09-13T13:41:30.839,1789281690.840,,1.4092,55.1,1500,3805,0.0,0x80000,0.00307,0.22241,0.20660,0.30440,0.00322,0.00222,0.17697,0.00000,0.03645,0.00000,0.07239,0.38148
2026-09-13T13:41:31.866,1789281691.866,,1.9757,55.6,1500,3808,0.2,0x80000,0.00317,0.21558,0.20639,0.30494,0.00241,0.00242,0.18330,0.17693,0.02919,0.00000,0.06914,0.78219
2026-09-13T13:41:32.896,1789281692.896,,1.9465,55.1,1500,3807,0.0,0x80000,0.00307,0.21773,0.21650,0.30813,0.00282,0.00222,0.22903,0.17719,0.03567,0.00000,0.06965,0.68449
2026-09-13T13:41:33.922,1789281693.923,,1.8826,55.6,1500,3804,0.2,0x80000,0.00312,0.21901,0.20625,0.36240,0.00242,0.00222,0.28565,0.00000,0.03844,0.00089,0.06898,0.69328
2026-09-13T13:41:34.952,1789281694.953,,1.4045,55.1,1500,3803,0.2,0x80000,0.00297,0.21314,0.20625,0.30670,0.00282,0.00242,0.17687,0.00722,0.03655,0.00000,0.06807,0.38148
2026-09-13T13:41:35.978,1789281695.979,,1.6553,56.2,1500,3801,0.0,0x80000,0.00287,0.29655,0.22237,0.30571,0.00282,0.00222,0.16433,0.17314,0.03567,0.00059,0.06798,0.38107
2026-09-13T13:41:37.005,1789281697.005,,1.6661,54.5,1500,3805,0.0,0x80000,0.00297,0.21470,0.20889,0.31375,0.00241,0.00242,0.26049,0.17358,0.03880,0.00000,0.06674,0.38134
2026-09-13T13:41:38.031,1789281698.032,,1.4003,55.1,1500,3810,0.0,0x80000,0.00302,0.21226,0.21700,0.30247,0.00282,0.00222,0.15758,0.00000,0.05297,0.00000,0.06868,0.38134
2026-09-13T13:41:39.058,1789281699.058,,1.3945,55.1,1500,3817,0.0,0x80000,0.00297,0.21460,0.20411,0.30247,0.00282,0.00201,0.17737,0.00000,0.03772,0.00000,0.06868,0.38175
2026-09-13T13:41:40.084,1789281700.085,,1.5757,55.1,1500,3814,0.2,0x80000,0.00312,0.21461,0.21757,0.30971,0.00181,0.00222,0.25727,0.00000,0.03765,0.00000,0.06927,0.46245
2026-09-13T13:41:41.110,1789281701.111,,1.3837,55.1,1500,3807,0.2,0x80000,0.00297,0.22044,0.20552,0.30594,0.00282,0.00222,0.16061,0.00000,0.03649,0.00000,0.07248,0.37425
2026-09-13T13:41:42.137,1789281702.137,,1.4103,54.0,1500,3814,0.0,0x80000,0.00312,0.22272,0.20458,0.30861,0.00262,0.00242,0.16392,0.00361,0.04407,0.00030,0.07301,0.38134
2026-09-13T13:41:43.163,1789281703.164,,1.3921,55.1,1500,3810,0.0,0x80000,0.00312,0.21705,0.20552,0.30971,0.00362,0.00222,0.16079,0.00362,0.03567,0.00000,0.06934,0.38148
2026-09-13T13:41:44.191,1789281704.191,,1.4007,54.5,1500,3808,0.5,0x80000,0.00302,0.21627,0.20552,0.30594,0.00282,0.00222,0.18044,0.00000,0.03032,0.00000,0.07242,0.38175
2026-09-13T13:41:45.217,1789281705.217,,1.4035,55.6,1500,3803,0.0,0x80000,0.00312,0.21939,0.20625,0.30971,0.00282,0.00242,0.17356,0.00000,0.04085,0.00000,0.07118,0.37425
2026-09-13T13:41:46.244,1789281706.245,,1.5635,54.5,1500,3804,0.0,0x80000,0.00311,0.21607,0.20552,0.29899,0.00282,0.00201,0.17687,0.17358,0.04000,0.00000,0.06985,0.37465
2026-09-13T13:41:47.272,1789281707.272,,1.7491,54.5,1500,3800,0.0,0x80000,0.00312,0.21636,0.33324,0.30421,0.00241,0.00242,0.20558,0.18081,0.03444,0.00000,0.07225,0.39430
2026-09-13T13:41:48.299,1789281708.299,,1.5520,54.0,1500,3808,1.5,0x80000,0.00297,0.21363,0.20673,0.30287,0.00282,0.00222,0.17078,0.18072,0.02919,0.00000,0.07235,0.36770
2026-09-13T13:41:49.326,1789281709.327,,1.5655,54.5,1500,3807,0.0,0x80000,0.00312,0.21646,0.20424,0.30571,0.00241,0.00242,0.16401,0.18122,0.03654,0.00000,0.06802,0.38134
2026-09-13T13:41:50.353,1789281710.353,,1.4023,54.0,1500,3807,0.5,0x80000,0.00302,0.21793,0.21628,0.30878,0.00322,0.00222,0.16479,0.00361,0.03655,0.00000,0.07114,0.37478
2026-09-13T13:41:51.379,1789281711.380,,1.3995,54.5,1500,3810,0.0,0x80000,0.00312,0.22095,0.20680,0.30247,0.00282,0.00222,0.17126,0.00362,0.04404,0.00000,0.06800,0.37425
2026-09-13T13:41:52.407,1789281712.407,,1.5752,56.2,1500,3806,0.0,0x80000,0.00331,0.21801,0.20660,0.30073,0.00241,0.00242,0.15833,0.18456,0.05081,0.00000,0.06670,0.38134
2026-09-13T13:41:53.434,1789281713.434,,1.6178,54.5,1500,3805,0.0,0x80000,0.00312,0.21841,0.20632,0.31105,0.00282,0.00222,0.20000,0.18456,0.03567,0.00000,0.07288,0.38079
2026-09-13T13:41:54.460,1789281714.461,,1.3966,54.5,1500,3805,0.0,0x80000,0.00297,0.21499,0.21435,0.30180,0.00322,0.00222,0.16479,0.01087,0.02801,0.00000,0.07053,0.38284
2026-09-13T13:41:55.487,1789281715.487,,1.4188,54.0,1500,3807,0.0,0x80000,0.00297,0.21705,0.20660,0.30320,0.00282,0.00242,0.18330,0.01087,0.03902,0.00000,0.06927,0.38134
2026-09-13T13:41:56.514,1789281716.515,,1.4349,54.5,1500,3804,0.0,0x80000,0.00312,0.21499,0.23219,0.30594,0.00282,0.00242,0.19633,0.00000,0.02378,0.00000,0.07220,0.38107
2026-09-13T13:41:57.541,1789281717.542,,1.4248,55.1,1500,3804,0.0,0x80000,0.00317,0.21813,0.20625,0.30047,0.00241,0.00322,0.20680,0.00362,0.03135,0.00000,0.06805,0.38134
2026-09-13T13:41:58.568,1789281718.568,,1.4058,55.1,1500,3803,0.0,0x80000,0.00297,0.21793,0.20411,0.30852,0.00322,0.00222,0.17039,0.01808,0.03468,0.00000,0.06927,0.37438
2026-09-13T13:41:59.595,1789281719.595,,1.5665,54.0,1500,3802,0.5,0x80000,0.00297,0.21549,0.20465,0.30594,0.00282,0.00222,0.16452,0.17679,0.04300,0.00000,0.06681,0.38134
2026-09-13T13:42:00.622,1789281720.623,,1.5536,55.1,1500,3800,0.0,0x80000,0.00312,0.21695,0.20767,0.30971,0.00362,0.00242,0.16387,0.15871,0.03762,0.00000,0.06861,0.38134
2026-09-13T13:42:01.649,1789281721.649,,1.5556,55.1,1500,3803,0.0,0x80000,0.00312,0.21226,0.20444,0.35809,0.00241,0.00242,0.28886,0.00000,0.03671,0.00030,0.07231,0.37465
2026-09-13T13:42:02.675,1789281722.676,,1.3956,54.5,1500,3809,0.0,0x80000,0.00287,0.21666,0.20916,0.30846,0.00242,0.00242,0.15833,0.00362,0.03785,0.00000,0.07244,0.38134
2026-09-13T13:42:03.701,1789281723.702,,1.4701,54.5,1500,3804,0.2,0x80000,0.00297,0.21627,0.20532,0.30971,0.00282,0.00242,0.24558,0.00000,0.03547,0.00000,0.06813,0.38148
2026-09-13T13:42:04.728,1789281724.728,,1.4116,54.5,1500,3804,0.0,0x80000,0.00312,0.21733,0.20397,0.31105,0.00282,0.00242,0.17772,0.00724,0.03571,0.00000,0.06916,0.38107
2026-09-13T13:42:05.754,1789281725.754,,1.3997,54.5,1500,3806,0.2,0x80000,0.00297,0.22319,0.21757,0.30421,0.00282,0.00222,0.16156,0.00362,0.03660,0.00000,0.06993,0.37505
2026-09-13T13:42:06.780,1789281726.781,,1.3857,55.1,1500,3801,0.0,0x80000,0.00297,0.21499,0.20431,0.31052,0.00262,0.00222,0.17020,0.00000,0.02598,0.00059,0.06991,0.38134
2026-09-13T13:42:07.807,1789281727.807,,1.5506,54.5,1500,3805,0.0,0x80000,0.00312,0.21499,0.28641,0.30670,0.00242,0.00242,0.24741,0.00362,0.03337,0.00030,0.06848,0.38134
2026-09-13T13:42:08.834,1789281728.834,,1.4172,54.5,1500,3806,0.0,0x80000,0.00307,0.21705,0.21628,0.30396,0.00282,0.00222,0.17989,0.00723,0.03870,0.00000,0.07119,0.37478
2026-09-13T13:42:09.861,1789281729.862,,1.4241,55.1,1500,3806,0.0,0x80000,0.00302,0.22668,0.22721,0.30421,0.00282,0.00222,0.16479,0.00723,0.03675,0.00000,0.07492,0.37425
2026-09-13T13:42:10.972,1789281730.973,,1.4615,54.5,1500,3804,0.0,0x80000,0.00312,0.21695,0.20673,0.31030,0.00322,0.00222,0.17395,0.00722,0.04195,0.00000,0.06804,0.42786
2026-09-13T13:42:12.000,1789281732.001,,1.4081,55.1,1500,3809,0.2,0x80000,0.00297,0.21705,0.20896,0.30571,0.00282,0.00222,0.18014,0.00000,0.03762,0.00030,0.06930,0.38107
2026-09-13T13:42:13.027,1789281733.027,,1.5521,55.1,1500,3808,0.0,0x80000,0.00312,0.21549,0.20477,0.31030,0.00322,0.00222,0.15802,0.17371,0.03892,0.00000,0.06798,0.37438
2026-09-13T13:42:14.053,1789281734.053,,1.6844,54.0,1500,3810,0.0,0x80000,0.00297,0.21665,0.21642,0.31038,0.00282,0.00222,0.25119,0.18837,0.03880,0.00030,0.06608,0.38817
2026-09-13T13:42:15.079,1789281735.080,,1.3982,55.1,1500,3807,0.0,0x80000,0.00297,0.21617,0.21628,0.30421,0.00282,0.00222,0.16079,0.00362,0.03878,0.00000,0.06930,0.38107
2026-09-13T13:42:16.106,1789281736.106,,1.4000,55.6,1500,3803,0.2,0x80000,0.00312,0.21693,0.20552,0.30494,0.00241,0.00242,0.17687,0.00362,0.03059,0.00000,0.07235,0.38120
2026-09-13T13:42:17.132,1789281737.133,,1.5008,54.5,1500,3807,0.0,0x80000,0.00297,0.21226,0.24939,0.30355,0.00322,0.00222,0.20903,0.00000,0.03233,0.00000,0.07103,0.41479
2026-09-13T13:42:18.159,1789281738.159,,1.3997,54.5,1500,3799,0.0,0x80000,0.00297,0.21811,0.20559,0.31207,0.00322,0.00222,0.16387,0.00000,0.03762,0.00030,0.07241,0.38134
2026-09-13T13:42:19.185,1789281739.185,,1.4357,54.5,1500,3798,0.0,0x80000,0.00312,0.21575,0.20552,0.31148,0.00241,0.00222,0.20605,0.00362,0.03844,0.00000,0.07246,0.37465
2026-09-13T13:42:20.211,1789281740.212,,1.4262,55.1,1500,3793,0.0,0x80000,0.00306,0.21881,0.21779,0.31227,0.00322,0.00222,0.17667,0.00000,0.04202,0.00000,0.06919,0.38093
2026-09-13T13:42:21.238,1789281741.238,,1.3923,54.0,1500,3804,0.2,0x80000,0.00331,0.21412,0.20625,0.31148,0.00282,0.00222,0.16466,0.00724,0.03550,0.00000,0.06995,0.37478
2026-09-13T13:42:22.264,1789281742.265,,1.3785,54.0,1500,3809,0.0,0x80000,0.00297,0.21615,0.20774,0.31207,0.00262,0.00222,0.16066,0.00000,0.02148,0.00000,0.07121,0.38134
2026-09-13T13:42:23.290,1789281743.291,,1.5203,54.0,1500,3807,0.0,0x80000,0.00312,0.21489,0.28337,0.31030,0.00282,0.00242,0.21201,0.00362,0.03995,0.00000,0.06677,0.38107
2026-09-13T13:42:24.318,1789281744.318,,2.6006,56.2,2400,3790,30.0,0x80000,0.00297,0.22434,0.20733,0.32994,0.00241,0.00222,0.15414,0.00362,0.09554,0.00148,0.07056,1.50609
2026-09-13T13:42:25.344,1789281745.344,,3.3771,56.2,2400,3785,25.3,0x80000,0.00283,0.25296,0.21499,0.32622,0.00221,0.00262,0.17732,0.00000,0.07280,0.00148,0.06854,2.25515
2026-09-13T13:42:26.370,1789281746.370,,3.4522,58.4,2400,3770,25.1,0x80000,0.00306,0.22173,0.20740,0.32117,0.00282,0.00222,0.17346,0.00000,0.08540,0.00000,0.07034,2.36458
2026-09-13T13:42:27.397,1789281747.398,,3.4111,57.9,2400,3771,24.9,0x80000,0.00312,0.24704,0.21714,0.31925,0.00242,0.00222,0.17682,0.00721,0.05586,0.00000,0.06978,2.31024
2026-09-13T13:42:28.424,1789281748.425,,3.8682,57.9,2400,3766,25.1,0x80000,0.00302,0.22065,0.20330,0.35937,0.00262,0.00322,0.16723,0.18031,0.36070,0.00119,0.07026,2.29638
2026-09-13T13:42:29.452,1789281749.452,,3.7860,58.4,2400,3767,25.3,0x80000,0.00302,0.22237,0.20625,0.31925,0.00322,0.00222,0.18009,0.18776,0.13513,0.00118,0.06839,2.45715
2026-09-13T13:42:30.479,1789281750.479,,3.3566,57.9,2400,3767,25.1,0x80000,0.00302,0.22007,0.20438,0.32099,0.00322,0.00322,0.18039,0.00361,0.04755,0.00000,0.06923,2.30088
2026-09-13T13:42:31.506,1789281751.506,,3.2499,58.4,2400,3769,25.1,0x80000,0.00287,0.21851,0.21700,0.37333,0.00262,0.00222,0.21546,0.17715,0.39890,0.00178,0.06979,1.57031
2026-09-13T13:42:32.533,1789281752.533,,3.6662,59.0,2400,3764,24.9,0x80000,0.00312,0.22163,0.22144,0.32797,0.00261,0.00322,0.17712,0.16983,0.04942,0.00030,0.06849,2.42104
2026-09-13T13:42:33.560,1789281753.560,,3.0302,59.0,2400,3763,25.4,0x80000,0.00302,0.21577,0.20660,0.33669,0.00241,0.00222,0.17356,0.17732,0.18609,0.00030,0.06870,1.65750
2026-09-13T13:42:34.587,1789281754.587,,2.9800,57.3,2400,3768,31.5,0x80000,0.00302,0.22455,0.20411,0.34367,0.00261,0.00483,0.18652,0.18081,0.16084,0.00530,0.06998,1.59375
2026-09-13T13:42:35.613,1789281755.613,,2.9532,58.4,2400,3775,25.1,0x80000,0.00297,0.25270,0.20552,0.33320,0.00322,0.00222,0.15749,0.17345,0.14237,0.00295,0.06747,1.60968
2026-09-13T13:42:36.642,1789281756.642,,4.6840,59.5,2400,3772,28.0,0x80000,0.00292,0.25351,0.20323,0.38122,0.00301,0.00262,0.19606,0.19478,0.38135,0.00502,0.06313,2.99715
2026-09-13T13:42:37.669,1789281757.669,,3.7252,59.5,2400,3764,40.1,0x80000,0.00302,0.23891,0.20444,0.38807,0.00241,0.00242,0.29636,0.17719,0.08349,0.00266,0.06903,2.25719
2026-09-13T13:42:38.696,1789281758.697,,3.6505,59.5,2400,4362,32.4,0x80000,0.00302,0.22082,0.20370,0.32291,0.00241,0.00262,0.17375,0.17719,0.05814,0.00030,0.07043,2.41525
2026-09-13T13:42:39.724,1789281759.724,,3.6095,59.0,2400,5845,32.6,0x80000,0.00297,0.21783,0.20229,0.32836,0.00241,0.00242,0.17697,0.17675,0.04841,0.00000,0.06841,2.38265
2026-09-13T13:42:40.751,1789281760.751,,3.3539,59.5,2400,6014,32.8,0x80000,0.00302,0.21821,0.20559,0.33012,0.00241,0.00242,0.17742,0.00000,0.07319,0.00265,0.06849,2.27041
2026-09-13T13:42:41.779,1789281761.780,,4.4445,61.1,2400,6030,34.2,0x80000,0.00312,0.25795,0.20767,0.35462,0.00282,0.00282,0.17667,0.19469,0.18889,0.00765,0.06998,2.97762
2026-09-13T13:42:42.808,1789281762.808,,4.9547,59.5,2400,6031,38.1,0x80000,0.00306,0.25082,0.20799,0.35239,0.00402,0.00222,0.16704,0.17349,0.19726,0.00535,0.06992,3.52112
2026-09-13T13:42:43.835,1789281763.836,,3.8611,61.1,2400,6022,34.7,0x80000,0.00297,0.32074,0.20216,0.32994,0.00241,0.00242,0.17687,0.17755,0.09129,0.00385,0.06918,2.48176
2026-09-13T13:42:44.861,1789281764.862,,3.6241,60.6,2400,6033,33.1,0x80000,0.00306,0.23110,0.20370,0.31766,0.00241,0.00222,0.17020,0.19166,0.06380,0.00059,0.07028,2.36743
2026-09-13T13:42:45.888,1789281765.888,,3.9049,60.6,2400,6042,33.4,0x80000,0.00297,0.23379,0.20680,0.34241,0.00241,0.00262,0.18336,0.20942,0.20209,0.00592,0.06888,2.44419
2026-09-13T13:42:46.914,1789281766.915,,3.7424,61.1,2400,6035,32.8,0x80000,0.00302,0.23422,0.20485,0.35295,0.00241,0.00262,0.16788,0.18081,0.17982,0.00000,0.07026,2.34351
2026-09-13T13:42:47.943,1789281767.944,,3.8176,59.5,2400,6042,32.6,0x80000,0.00302,0.26677,0.20424,0.37226,0.00241,0.00222,0.15458,0.18076,0.12179,0.00326,0.06781,2.43843
2026-09-13T13:42:48.970,1789281768.970,,3.5711,61.1,2400,6050,32.3,0x80000,0.00306,0.21753,0.28094,0.32503,0.00241,0.00222,0.20956,0.00000,0.04503,0.00326,0.06829,2.41380
2026-09-13T13:42:49.996,1789281769.996,,4.3584,60.6,2400,6053,32.8,0x80000,0.00297,0.22170,0.33946,0.31941,0.00282,0.00222,0.19366,0.18026,0.07307,0.00000,0.06830,2.95455
2026-09-13T13:42:51.022,1789281771.022,,3.6096,61.1,2400,6060,32.4,0x80000,0.00302,0.22730,0.20691,0.34787,0.00241,0.00201,0.17063,0.17719,0.11287,0.00118,0.06981,2.28840
2026-09-13T13:42:52.049,1789281772.049,,4.6380,62.2,2400,6060,41.0,0x80000,0.00297,0.27005,0.21785,0.33314,0.00281,0.00282,0.17092,0.19517,0.11243,0.00563,0.06796,3.25627
2026-09-13T13:42:53.075,1789281773.075,,3.2895,61.1,2400,6054,33.8,0x80000,0.00306,0.26382,0.20733,0.35295,0.00282,0.00242,0.17682,0.17358,0.39648,0.00711,0.06953,1.63359
2026-09-13T13:42:54.101,1789281774.101,,3.4987,60.6,2400,6055,32.4,0x80000,0.00297,0.22082,0.21843,0.32327,0.00241,0.00242,0.15740,0.00000,0.07499,0.00000,0.06847,2.42754
2026-09-13T13:42:55.128,1789281775.128,,3.3954,61.1,2400,6066,32.3,0x80000,0.00306,0.24582,0.20612,0.33363,0.00241,0.00282,0.17682,0.00000,0.14888,0.00000,0.06787,2.20800
2026-09-13T13:42:56.153,1789281776.154,,3.6096,62.2,2400,6064,40.2,0x80000,0.00302,0.21783,0.20317,0.32564,0.00281,0.00262,0.17712,0.18752,0.05595,0.00000,0.06787,2.36600
2026-09-13T13:42:57.179,1789281777.180,,3.5637,61.7,2400,6063,32.7,0x80000,0.00292,0.22272,0.20625,0.32387,0.00302,0.00262,0.15127,0.17693,0.10131,0.00207,0.06843,2.30227
2026-09-13T13:42:58.207,1789281778.207,,3.6703,61.1,2400,6069,33.2,0x80000,0.00311,0.23234,0.20667,0.32448,0.00282,0.00222,0.15510,0.18072,0.06473,0.00088,0.06531,2.43193
2026-09-13T13:42:59.234,1789281779.235,,4.4961,61.1,2400,6082,32.3,0x80000,0.00302,0.32034,0.20680,0.35490,0.00241,0.00242,0.17097,0.18076,0.35355,0.01004,0.06736,2.82348
2026-09-13T13:43:00.263,1789281780.263,,3.0147,61.7,2400,6082,40.3,0x80000,0.00311,0.22485,0.20229,0.33166,0.00281,0.00242,0.17757,0.00000,0.10350,0.00266,0.06901,1.89485
2026-09-13T13:43:01.290,1789281781.290,,2.7705,59.0,2400,6106,25.1,0x80000,0.00302,0.24493,0.20444,0.33376,0.00282,0.00282,0.17068,0.17732,0.21041,0.00561,0.07003,1.34469
2026-09-13T13:43:02.316,1789281782.317,,1.8580,59.0,2400,6127,6.8,0x80000,0.00311,0.21861,0.20584,0.31816,0.00282,0.00222,0.17732,0.17706,0.04151,0.00000,0.06649,0.64488
2026-09-13T13:43:03.343,1789281783.343,,1.8506,58.4,2400,6126,0.0,0x80000,0.00311,0.21753,0.20605,0.31993,0.00282,0.00242,0.17429,0.17310,0.03671,0.00000,0.06956,0.64508
2026-09-13T13:43:04.368,1789281784.369,,2.2788,58.4,2400,6133,0.0,0x80000,0.00297,0.23334,0.20477,0.31502,0.00282,0.00262,0.16774,0.18081,0.03444,0.00059,0.06653,1.06717
2026-09-13T13:43:05.393,1789281785.394,,1.7188,58.4,2400,6146,0.0,0x80000,0.00292,0.21539,0.22942,0.32210,0.00281,0.00222,0.19290,0.00000,0.03675,0.00000,0.06903,0.64527
2026-09-13T13:43:06.420,1789281786.420,,1.7154,57.9,2400,6146,0.0,0x80000,0.00297,0.21392,0.20438,0.32256,0.00282,0.00242,0.19644,0.01087,0.03655,0.00000,0.06965,0.65285
2026-09-13T13:43:07.547,1789281787.548,,2.7144,59.0,2400,6126,34.1,0x80000,0.00312,0.22282,0.20552,0.33593,0.00282,0.00242,0.17356,0.00361,0.09551,0.00000,0.06741,1.60172
2026-09-13T13:43:08.573,1789281788.574,,5.0674,62.2,2400,6092,39.8,0x80000,0.00302,0.32171,0.20552,0.32980,0.00261,0.00222,0.16770,0.00000,0.07547,0.00000,0.06495,3.89437
2026-09-13T13:43:09.600,1789281789.601,,5.3456,61.7,2400,6086,50.0,0x80000,0.00302,0.35820,0.20323,0.32836,0.00241,0.00242,0.17395,0.00000,0.11295,0.00707,0.06600,4.08796
2026-09-13T13:43:10.628,1789281790.629,,4.8422,63.4,2400,6088,50.6,0x80000,0.00302,0.26167,0.20209,0.33363,0.00282,0.00282,0.17682,0.00000,0.12263,0.00445,0.06668,3.66562
2026-09-13T13:43:11.655,1789281791.655,,5.1094,63.4,2400,6091,51.1,0x80000,0.00297,0.22085,0.20632,0.32159,0.00282,0.00282,0.17687,0.00000,0.05814,0.00326,0.06684,4.04690
