loat,cau_hinh,dinh_vi_file,kieu_dang_file,nhanh_dinh_vi,luong,lien_tuc,trung_vi_ms,min_ms,max_ms,luot_dau_ms,cpu_time_ms,ti_so_cpu_wall,p_trung_vi_w,p_min_w,p_max_w,e_toan_phan_j,e_tang_them_j,nhiet_do_bat_dau_c,nhiet_do_max_c,giay_cho_nguoi,quat_rpm_max,cpu_trung_vi_pct,throttled,throttled_hien_tai,so_mau,so_bien_tren_anh
nghi_truoc,,,,,,,,,,,,,1.419,1.377,1.976,,,55,56.2,0,3817,0.0,0x80000,0x0,59,
nghi_sau,,,,,,,,,,,,,1.525,1.403,1.878,,,58,60.0,185,6269,0.0,0x80000,0x0,58,
bench_onnx_1luong,onnx,,,khong_ghi,1,False,815.8,813.6,819.9,970.4,1125.7,1.4,3.659,2.598,8.239,2.985,1.805,58,66.1,25,6264,32.5,0x80000,0x0,37,12
bench_onnx_2luong,onnx,,,khong_ghi,2,False,536.5,531.0,573.7,675.8,1300.3,2.4,4.878,1.964,9.201,2.617,1.841,58,68.8,30,8023,59.0,0x80000,0x0,26,12
bench_onnx_4luong,onnx,,,khong_ghi,4,False,495.6,481.0,543.2,617.0,1841.0,3.7,6.55,1.982,8.445,3.246,2.53,58,72.7,35,8051,91.2,0x80000,0x0,24,12
bench_pt_1luong,pt,,,khong_ghi,1,False,810.8,808.5,812.5,958.4,1115.7,1.4,3.61,2.601,4.955,2.927,1.755,54,62.2,0,6106,32.4,0x80000,0x0,37,12
bench_pt_2luong,pt,,,khong_ghi,2,False,526.8,522.6,531.7,670.9,1279.3,2.4,4.786,1.969,9.175,2.521,1.76,57,66.7,5,6175,57.9,0x80000,0x0,26,12
bench_pt_4luong,pt,,,khong_ghi,4,False,490.4,484.5,506.1,600.4,1818.6,3.7,5.473,2.008,9.005,2.684,1.975,58,71.6,15,8034,92.0,0x80000,0x0,24,12
tai_lien_tuc_onnx_4luong,onnx,,,khong_ghi,4,True,492.5,476.1,538.0,600.5,1816.2,3.7,6.916,2.639,9.387,3.406,2.694,58,79.3,100,9865,92.4,0x80000,0x0,77,12
tai_lien_tuc_pt_4luong,pt,,,khong_ghi,4,True,495.0,477.9,555.1,626.7,1819.7,3.7,5.835,2.652,9.514,2.888,2.173,58,78.2,50,9852,92.4,0x80000,0x0,77,12
