loat,cau_hinh,nhanh_dinh_vi,luong,buoc,trung_vi_ms,min_ms,max_ms,ti_le_pct
bench_onnx_1luong,onnx,khong_ghi,1,Chuyển màu BGR sang RGB,1.6,1.5,2.0,0.2
bench_onnx_1luong,onnx,khong_ghi,1,Phát hiện biển số (ONNX),365.1,364.6,367.2,39.0
bench_onnx_1luong,onnx,khong_ghi,1,Màu biển + OCR (12 biển),165.8,164.9,167.6,17.7
bench_onnx_1luong,onnx,khong_ghi,1,Định vị + cắt vùng xe (YOLO),136.0,133.3,154.9,14.5
bench_onnx_1luong,onnx,khong_ghi,1,Tiền xử lý ảnh cho classifier,6.6,6.5,7.6,0.7
bench_onnx_1luong,onnx,khong_ghi,1,Phân loại loại xe (ONNX),129.3,128.9,131.0,13.8
bench_onnx_1luong,onnx,khong_ghi,1,Phân loại kiểu dáng (ONNX),132.1,131.9,132.9,14.1
bench_onnx_2luong,onnx,khong_ghi,2,Chuyển màu BGR sang RGB,1.6,1.5,1.8,0.3
bench_onnx_2luong,onnx,khong_ghi,2,Phát hiện biển số (ONNX),201.8,200.6,206.2,33.8
bench_onnx_2luong,onnx,khong_ghi,2,Màu biển + OCR (12 biển),103.9,103.6,104.9,17.4
bench_onnx_2luong,onnx,khong_ghi,2,Định vị + cắt vùng xe (YOLO),139.8,139.2,142.0,23.4
bench_onnx_2luong,onnx,khong_ghi,2,Tiền xử lý ảnh cho classifier,6.6,6.6,6.6,1.1
bench_onnx_2luong,onnx,khong_ghi,2,Phân loại loại xe (ONNX),70.1,69.9,71.7,11.7
bench_onnx_2luong,onnx,khong_ghi,2,Phân loại kiểu dáng (ONNX),73.4,73.3,77.5,12.3
bench_onnx_4luong,onnx,khong_ghi,4,Chuyển màu BGR sang RGB,1.7,1.5,1.9,0.3
bench_onnx_4luong,onnx,khong_ghi,4,Phát hiện biển số (ONNX),167.5,165.6,174.6,29.6
bench_onnx_4luong,onnx,khong_ghi,4,Màu biển + OCR (12 biển),104.4,96.7,112.7,18.4
bench_onnx_4luong,onnx,khong_ghi,4,Định vị + cắt vùng xe (YOLO),155.3,150.8,200.3,27.4
bench_onnx_4luong,onnx,khong_ghi,4,Tiền xử lý ảnh cho classifier,6.6,6.6,7.4,1.2
bench_onnx_4luong,onnx,khong_ghi,4,Phân loại loại xe (ONNX),49.9,44.7,61.1,8.8
bench_onnx_4luong,onnx,khong_ghi,4,Phân loại kiểu dáng (ONNX),80.9,71.5,87.8,14.3
bench_pt_1luong,pt,khong_ghi,1,Chuyển màu BGR sang RGB,1.5,1.5,1.8,0.2
